Country Name,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)",CO2 emissions (metric tons per capita),"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",Control of Corruption: Estimate,Cooling Degree Days,Economic and Social Rights Performance Score,Energy intensity level of primary energy (MJ/$2017 PPP GDP),"Fertility rate, total (births per woman)",Food production index (2014-2016 = 100),Forest area (% of land area),GDP growth (annual %),Government Effectiveness: Estimate,"Government expenditure on education, total (% of government expenditure)",Heat Index 35,Heating Degree Days,Individuals using the Internet (% of population),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Land Surface Temperature,"Life expectancy at birth, total (years)","Mammal species, threatened",Methane emissions (metric tons of CO2 equivalent per capita),"Mortality rate, under-5 (per 1,000 live births)",Net migration,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Political Stability and Absence of Violence/Terrorism: Estimate,Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Prevalence of undernourishment (% of population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Regulatory Quality: Estimate,Renewable energy consumption (% of total final energy consumption),Rule of Law: Estimate,"School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)",Scientific and technical journal articles,Standardised Precipitation-Evapotranspiration Index,Strength of legal rights index (0=weak to 12=strong),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss (hectares),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Voice and Accountability: Estimate
Mauritius,98.9,99.6,0.0020958542695187,0.0020958542695187,43.064596895343016,3.551758312635136,22.06470374409305,2.938514108058836,7.26439921820429,0.412719398736954,3406.31,2.196661231,2.21,1.44,84.4,19.434151226840264,8.88058490780142,0.750284731388092,11.6664562225342,0.0,0.0,67.58,64.163,26.6531725,74.1770731707317,7.0,1.5590078948574029,16.6,-478.0,0.1752504056037294,14.91383169,0.835721731185913,11.783114473996,634.1181772658988,6.8,20.0,62.75534025913389,1.16610610485077,9.41,0.79998904466629,102.881149291992,1.03805005550385,198.76,-0.86375602,6.0,0.0114734168364072,0.0,4.886,0.601032435894012
Mexico,84.6,100.0,2.756993801521042,0.0,49.9632192186013,4.0332826100960455,21.89437652811736,3.040766374772257,9.0934368360701,-1.01186621189117,2976.91,2.278524217,3.26,1.905,117.03,33.727367833534814,3.8982314612612896,-0.280898958444595,16.1958599090576,10.3,830.22,75.62650476,65.446,31.8751548,70.133,96.0,1.1387525595384609,13.2,-9949.0,0.3435858555458946,20.12401203,-0.691959738731384,8.02123669897249,65.17921654363538,2.5,50.0,60.48621612190298,-0.148309499025345,12.33,-0.866642534732819,103.358810424805,1.05410003662109,20074.24,0.460457564,10.0,18.9510303085875,189079.0,2.821,-0.121708184480667
"Micronesia, Fed. Sts.",13.3,83.6249771118164,0.0161998222617596,0.0161998222617596,7.142857142857142,22.468530041341204,,0.958913885073056,12.7066300942558,0.484119057655334,5979.92,2.280809032,5.7,2.754,121.63,92.07142857142856,-0.8264462809917319,0.379839152097702,18.6147193908691,0.0,0.0,40.40961941,,25.4852684,70.674,5.0,0.4699712236633186,24.9,-635.0,0.2457470875778281,10.38285056,1.21048414707184,5.55899970117701,161.6157142857143,,7.14285714285714,,-0.561271905899048,2.03,0.686108767986298,91.5278778076172,,7.57,1.592222256,10.0,0.0157814366690901,0.0,,1.13089883327484
Middle East & North Africa,95.9577926473671,97.29014543514178,3.963549820790615,0.0223561598998533,33.40621704255942,4.698802486518966,133.112233579054,5.033818297654261,11.377747393904514,,,,5.632023259008427,2.660516513483919,,2.0540790067466523,5.990386392299712,,,,,77.37353453967553,48.85449862000068,,72.94976833193157,228.0,1.5666915573086,22.0,-1699850.0,0.2427876353488052,46.60359077741153,,5.178902106166366,43.34221704719519,9.619412294656044,17.486338797814202,30.10055581950056,,1.995650377584432,,96.7716827392578,0.971140027046204,151991.96000000002,,3.1904761904761907,4.500262719465247,,9.159460578385838,
Middle East & North Africa (IDA & IBRD),95.27069657292256,96.81097815814007,6.256313498133118,0.0424853516575759,22.940689245798644,9.86922397236762,123.33459636389512,3.368343759222434,11.824323746882214,,,,5.390743890871025,2.695797400812284,,2.5016787689352302,4.238714139461848,,14.47043800354005,,,73.27587142407073,44.90637853513648,,72.14637619842054,164.0,1.2076587424749887,24.062560572916613,-55547.0,0.248052816383154,45.77674200494411,,5.432331608369259,47.87726576382433,10.644407877448131,17.27781230577998,23.199254599673715,,2.8637072247595348,,96.7881469726562,0.965900003910065,110139.27000000002,,3.0,4.438030378399042,,10.757540255045866,
Middle East & North Africa (excluding high income),95.27069657292252,96.84853074561212,6.256313498133118,0.0424853516575759,22.96998708025897,9.831287207143442,123.04697165747912,3.329056087023252,11.824323746882214,,,,5.376607504513865,2.705727107706516,,2.501107523838289,4.235854917944891,,,,,73.40081351205524,44.931115306879626,,72.17269699657263,168.0,1.1935728580776712,23.908317255048697,-67916.0,0.2451595791025283,45.60940217220565,,5.409003668169334,48.41396177442846,10.644407877448131,17.27781230577998,23.199254599673715,,2.9274947193667686,,96.7356109619141,0.967329978942871,110672.9,,3.3846153846153846,4.440722655246309,,10.757540255045868,
Middle income,71.7712168651065,94.99898720897706,2.4801441247924703,0.0737048280363069,36.91963167345381,8.773555732024752,9.89628367529865,3.604249236679741,18.389698233476693,,,,5.158437420722549,2.185746345669189,,33.59818642711594,3.56566638438882,,14.732424259185802,,,60.90143160111288,64.69363860755048,,71.64865086525809,2235.0,0.9959325801687609,35.30885099565015,-538467.0,0.3462152801718804,49.162942838471885,,8.210916307373648,75.21924809704441,9.296438925982098,24.99195587221328,65.51791011358304,,21.55080114487205,,101.768630981445,0.998199999332428,1350248.6499999992,,5.990476190476191,13.262452663418774,,5.198894371418096,
Moldova,97.6,100.0,0.0084947355014037,0.0,69.00212314225053,8.293261884861874,52.22222222222221,3.267846368110872,4.47050314530646,-0.34193229675293,877.28,2.238258552,5.08,1.77,89.67,11.722778283287838,-5.015482309387636,-0.307013601064682,16.3365783691406,0.0,4921.64,61.28776161,73.629,18.2822723,70.166,4.0,1.2474534546682707,14.2,-14278.0,0.3769008815504358,13.74739724,-0.668324410915375,13.3553138940116,90.110355122019,2.5,40.5940594059406,98.36045465696296,0.101790711283684,23.66,-0.286658674478531,106.542778015137,0.989910006523132,271.6,0.826178517,8.0,11.4305803979526,1131.0,1.55,0.0947811678051949
Monaco,100.0,100.0,,,,,,,,1.27020359039307,691.9,,,,,0.0,11.096826274797069,2.04689598083496,4.79598999023438,0.0,3171.3,86.09548575,,18.7630435,,3.0,,2.9,206.0,,11.66888949,1.20484304428101,35.8498997887438,17603.646833013434,,33.3333333333333,,1.39833402633667,,1.48544991016388,,,49.05,-1.144112545,,99.2134221126787,0.0,,0.71289449930191
Mongolia,53.0,100.0,14.89445603979271,0.0,72.31505219559206,13.027853403536083,1.328735632183908,6.43064533509798,6.30956602200595,-0.560807108879089,367.39,2.159742702,6.64,2.9,157.87,9.09894465963877,5.032709636652697,-0.424908697605133,9.9870433807373,0.0,11198.78,81.60682285,64.12,13.8746771,72.141,11.0,5.512312709545325,14.7,0.0,4.324348373799265,38.05757134,0.533999085426331,4.26028318310069,2.149449087548242,8.0,17.1052631578947,77.8796197898217,-0.27089050412178,3.98,-0.187423229217529,95.5634613037109,0.99825781583786,209.71,-0.005522172,9.0,19.7983664686459,187.0,5.406,0.262911826372147
